  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-023959 O US MO SAINT LOUIS      38 45 34.84N 090 23 12.82W POLE               1 00038 00619 U 1 A U                A 2014080 
29-082078 U US MO COFFEYVILLE      38 45 34.94N 093 09 43.35W T-L TWR            1 00078 00937 N 4 D N 2021ACE03173OE A 2022321 
29-001889 O US MO CORNELIA         38 45 35.00N 093 37 41.00W TOWER              1 00200 01122 N 5 D N 1996ACE01149OE C 2014138 
29-080153 U US MO ST. ANN          38 45 35.29N 090 25 49.83W T-L TWR            1 00088 00585 N 4 D N 2019ACE08797OE A 2021200 
29-025061 U US MO HAZELWOOD        38 45 35.30N 090 23 01.10W TOWER              1 00029 00601 N 4 D N 2010ACE01945OE A 2016211 
29-050794 U US MO HAZELWOOD        38 45 35.60N 090 22 32.03W BLDG               1 00040 00614 R 4 D N 2015ACE04020OE C 2018330 
29-021143 O US MO VIGUS            38 45 36.09N 090 32 06.45W TOWER              1 00100 00700 N 5 D N 2013ACE00047OE A 2013207 
29-050871 U US MO BERKELEY         38 45 36.28N 090 20 40.21W BLDG               1 00045 00571 N 4 D N 2016ACE00321OE A 2018024 
29-050839 U US MO HAZELWOOD        38 45 36.33N 090 22 31.33W BLDG               1 00040 00614 N 4 D N 2015ACE04022OE A 2018025 
29-050889 U US MO BERKELEY         38 45 36.57N 090 20 41.58W STACK              1 00051 00577 N 4 D N 2016ACE00448OE A 2018027 
29-050891 U US MO BERKELEY         38 45 36.70N 090 20 39.35W BLDG               1 00045 00571 N 4 D N 2016ACE00322OE A 2018024 
29-050874 U US MO BERKELEY         38 45 36.70N 090 20 41.56W STACK              1 00051 00577 N 4 D N 2016ACE00447OE A 2018027 
29-050879 U US MO BERKELEY         38 45 36.71N 090 20 44.53W BLDG               1 00045 00571 N 4 D N 2016ACE00320OE A 2018024 
29-050888 U US MO BERKELEY         38 45 36.83N 090 20 41.54W STACK              1 00051 00577 N 4 D N 2016ACE00446OE A 2018027 
29-075750 O US MO EARTH CITY       38 45 36.88N 090 27 47.27W BLDG               1 00040 00485 N 4 D N 2019ACE01033OE A 2020294 
29-050795 U US MO HAZELWOOD        38 45 37.19N 090 22 31.34W BLDG               1 00046 00620 N 4 D N 2015ACE03064OE A 2018025 
29-050890 U US MO BERKELEY         38 45 37.25N 090 20 44.74W BLDG               1 00045 00571 N 4 D N 2016ACE00319OE A 2018024 
29-051003 U US MO BERKELEY         38 45 37.31N 090 20 41.84W STACK              1 00056 00582 N 4 D N 2016ACE04128OE A 2018027 
29-051022 U US MO BERKELEY         38 45 37.52N 090 20 44.54W STACK              1 00056 00582 N 4 D N 2016ACE04126OE A 2018027 
29-080121 U US MO ST. ANN          38 45 37.52N 090 25 51.70W T-L TWR            1 00066 00549 N 4 D N 2019ACE08798OE A 2021243 
29-051021 U US MO BERKELEY         38 45 37.61N 090 20 43.06W STACK              1 00056 00582 N 4 D N 2016ACE04124OE A 2018027 
29-080172 U US MO HAZELWOOD        38 45 37.67N 090 21 42.80W T-L TWR            1 00072 00594 N 4 D N 2019ACE06087OE A 2021244 
29-082079 U US MO SEDALIA          38 45 37.67N 093 09 35.00W T-L TWR            1 00083 00921 N 4 D N 2021ACE03174OE A 2022322 
29-050880 U US MO BERKELEY         38 45 37.78N 090 20 39.12W BLDG               1 00045 00571 N 4 D N 2016ACE00323OE A 2018024 
29-051020 U US MO BERKELEY         38 45 37.79N 090 20 43.02W STACK              1 00046 00572 N 4 D N 2016ACE04123OE A 2018027 
29-050733 U US MO BERKELEY         38 45 38.00N 090 20 36.00W BLDG               1 00045 00570 N 4 D N 2015ACE00074OE A 2018024 
29-054218 U US MO HAZELWOOD        38 45 38.26N 090 23 01.39W BLDG               1 00040 00643 R 4 D N 2018ACE00022OE A 2018198 
29-050870 U US MO BERKELEY         38 45 38.33N 090 20 44.56W BLDG               1 00045 00571 N 4 D N 2016ACE00318OE A 2018024 
29-080313 U US MO BERKELEY         38 45 38.59N 090 20 14.88W UTILITY POLE       1 00055 00586 N 4 D N 2019ACE06078OE A 2021267 
29-080158 U US MO ST. ANN          38 45 38.88N 090 25 53.51W T-L TWR            1 00071 00561 N 4 D N 2019ACE08799OE A 2021200 
29-002527 O US MO LAMONTE          38 45 39.00N 093 27 54.00W TOWER              1 00253 01120 D 2 C N 2001ACE02686OE C 2002014 
29-050728 U US MO BERKELEY         38 45 39.00N 090 20 45.00W BLDG               1 00045 00570 N 4 D N 2015ACE00073OE A 2018024 
29-072637 U US MO ST. CHARLES      38 45 39.63N 090 31 46.63W POLE               1 00045 00636 N 4 D N 2019ACE08565OE A 2020017 
29-080171 U US MO HAZELWOOD        38 45 39.95N 090 21 40.63W T-L TWR            1 00051 00575 N 4 D N 2019ACE06086OE A 2021244 
29-006155 U US MO BRIDGETON        38 45 40.00N 090 28 38.00W T-L TWR            1 00126 00568 U     U                A 1977062 
29-000678 O US MO FULTON           38 45 40.00N 091 46 54.00W BLDG               1 00222 01062 N 4 D N 1978ACE00332OE C 2014138 
29-080173 U US MO HAZELWOOD        38 45 40.31N 090 21 47.47W T-L TWR            1 00060 00584 N 4 D N 2019ACE06088OE A 2021244 
29-023912 O US MO SAINT LOUIS      38 45 40.35N 090 23 37.31W POLE               1 00038 00649 U 1 A U                A 2014080 
29-050811 U US MO ST. LOUIS        38 45 40.46N 090 20 39.55W BLDG               1 00084 00612 N 4 D N 2015ACE03559OE A 2018025 
29-021069 O US MO BERKELEY         38 45 40.65N 090 20 40.47W BLDG               1 00053 00582 N 5 D N 2010ACE00538OE C 2016225 
29-082072 U US MO COFFEYVILLE      38 45 41.01N 093 09 24.81W T-L TWR            1 00083 00917 N 4 D N 2021ACE03175OE A 2022241 
29-076265 U US MO HAZELWOOD        38 45 41.20N 090 21 47.50W UTILITY POLE       1 00039 00568 N 4 D N 2019ACE04129OE A 2021082 
29-051017 U US MO ST. LOUIS        38 45 41.37N 090 20 35.76W BLDG               1 00084 00612 N 4 D N 2016ACE04302OE A 2018025 
29-002466 O US MO PECULIAR         38 45 41.60N 094 16 02.30W TOWER              1 00307 01224 D 2 B N 2009ACE00121OE C 2009083 
29-080093 U US MO ST. ANN          38 45 41.77N 090 25 56.15W T-L TWR            1 00056 00563 N 4 D N 2019ACE08801OE A 2021242 
29-001823 O US MO BIG SPRINGS      38 45 42.00N 091 25 07.00W TOWER              1 00500 01385 M 5 E N 1995ACE00784OE C 2014138 
29-001195 O US MO FERGUSON         38 45 42.00N 090 18 46.00W TANK               1 00121 00765 R 5 D M                C 2014138 
29-089087 U US MO HAZELWOOD        38 45 43.18N 090 21 38.30W TANK               1 00043 00563 N 4 D N 2022ACE08959OE A 2023272 
29-089088 U US MO HAZELWOOD        38 45 43.18N 090 21 39.22W TANK               1 00036 00556 N 4 D N 2022ACE08958OE A 2023272 
29-051301 U US MO ST. CHARLES      38 45 43.55N 090 28 32.61W SIGN               1 00037 00496 N 4 D N 2016ACE00283OE A 2018027 
29-089086 U US MO HAZELWOOD        38 45 43.67N 090 21 37.88W TANK               1 00057 00577 N 4 D N 2022ACE08960OE A 2023272 
29-082080 U US MO COFFEYVILLE      38 45 43.85N 093 09 16.08W T-L TWR            1 00078 00923 N 4 D N 2021ACE03176OE A 2022250 
29-080980 U US MO WARRENSBURG      38 45 44.31N 093 45 05.92W T-L TWR            1 00092 00870 N 4 D N 2020ACE02643OE A 2022060 
29-023971 O US MO SAINT LOUIS      38 45 44.35N 090 25 01.28W POLE               1 00026 00585 U 1 A U                A 2014080 
29-080178 U US MO HAZELWOOD        38 45 44.46N 090 22 20.48W T-L TWR            1 00063 00631 N 4 D N 2019ACE06093OE A 2021244 
29-074019 U US MO BRIDGETON        38 45 44.55N 090 27 31.94W POLE               1 00045 00486 N 4 D N 2018ACE07676OE A 2020175 
29-080079 U US MO ST. ANN          38 45 44.62N 090 25 59.03W T-L TWR            1 00056 00531 N 4 D N 2019ACE08803OE A 2021242 
29-080314 U US MO BERKELEY         38 45 44.78N 090 20 13.61W T-L TWR            1 00062 00607 N 4 D N 2019ACE06079OE A 2021267 
29-001233 O US MO BRIDGETON        38 45 45.00N 090 23 04.00W POLE               1 00058 00681 U 1 A U                C 2014138 
29-080979 U US MO WARRENSBURG      38 45 45.27N 093 45 03.14W T-L TWR            1 00081 00867 N 4 D N 2020ACE02642OE A 2022060 
29-072536 U US MO ASHLAND          38 45 45.56N 092 08 04.96W T-L TWR            1 00074 00850 N 4 D N 2019ACE01392OE A 2020006 
29-074020 U US MO BRIDGETON        38 45 45.87N 090 27 18.22W POLE               1 00045 00486 N 4 D N 2018ACE07677OE A 2020177 
29-051057 U US MO SAINT LOUIS      38 45 45.93N 090 20 03.81W T-L TWR            1 00100 00648 N 4 D N 2016ACE04982OE A 2018028 
29-050729 U US MO BERKELEY         38 45 46.00N 090 20 35.00W BLDG               1 00045 00573 N 4 D N 2015ACE00072OE A 2018024 
29-050813 U US MO ST. LOUIS        38 45 46.05N 090 20 36.98W BLDG               1 00050 00578 N 4 D N 2015ACE03567OE A 2018025 
29-080837 U US MO BERKELEY         38 45 46.05N 090 20 49.75W POLE               1 00024 00543 N 4 D N 2020ACE02625OE A 2021349 
29-050804 U US MO ST. LOUIS        38 45 46.06N 090 20 37.07W BLDG               1 00050 00578 N 4 D N 2015ACE03566OE A 2018025 
29-050809 U US MO ST. LOUIS        38 45 46.23N 090 20 36.95W BLDG               1 00050 00578 N 4 D N 2015ACE03565OE A 2018025 
29-050812 U US MO ST. LOUIS        38 45 46.24N 090 20 37.04W BLDG               1 00050 00578 N 4 D N 2015ACE03564OE A 2018025 
29-080978 U US MO WARRENSBURG      38 45 46.45N 093 44 59.99W T-L TWR            1 00092 00869 N 4 D N 2020ACE02641OE A 2022060 
29-080315 U US MO BERKELEY         38 45 46.47N 090 20 15.57W UTILITY POLE       1 00060 00606 N 4 D N 2019ACE06080OE A 2021267 
29-080836 U US MO BERKELEY         38 45 46.68N 090 20 56.32W POLE               1 00024 00543 N 4 D N 2020ACE02624OE A 2021349 
29-080977 U US MO WARRENSBURG      38 45 46.72N 093 44 58.19W T-L TWR            1 00092 00870 N 4 D N 2020ACE02640OE A 2022060 
29-082074 U US MO SEDALIA          38 45 46.86N 093 09 06.86W T-L TWR            1 00078 00923 N 4 D N 2021ACE03177OE A 2022354 
29-080170 U US MO HAZELWOOD        38 45 46.93N 090 21 33.81W T-L TWR            1 00051 00576 N 4 D N 2019ACE06085OE A 2021244 
29-080316 U US MO BERKELEY         38 45 46.98N 090 20 25.26W UTILITY POLE       1 00055 00590 N 4 D N 2019ACE06081OE A 2021267 
29-050732 U US MO BERKELEY         38 45 47.00N 090 20 38.00W BLDG               1 00045 00573 N 4 D N 2015ACE00071OE A 2018024 
29-080834 U US MO BERKELEY         38 45 47.00N 090 20 55.00W BLDG               1 00018 00542 N 4 D N 2020ACE01876OE A 2021350 
29-080833 U US MO BERKELEY         38 45 47.00N 090 20 52.00W BLDG               1 00022 00547 N 4 D N 2020ACE01875OE A 2021350 
29-006156 U US MO BRIDGETON        38 45 47.00N 090 28 34.00W T-L TWR            1 00125 00568 U     U                A 1977062 
29-081158 U US MO WARRENSBURG      38 45 47.11N 093 44 42.11W T-L TWR            1 00062 00877 N 4 D N 2020ACE06572OE A 2022067 
29-000767 O US MO FULTON           38 45 47.16N 091 46 37.54W COOL TWR           1 00560 01405 S 3 C N 2018ACE05362OE C 2018296 
29-080981 U US MO WARRENSBURG      38 45 47.31N 093 45 05.66W T-L TWR            1 00081 00888 N 4 D N 2020ACE02644OE A 2022060 
29-054135 O US MO HAZELWOOD        38 45 47.36N 090 23 28.66W BLDG               1 00032 00633 N 4 D N 2016ACE04088OE A 2018151 
29-051282 U US MO HAZELWOOD        38 45 47.49N 090 22 42.30W BLDG               1 00047 00648 N 4 D N 2017ACE01130OE A 2018025 
29-050858 U US MO HAZELWOOD        38 45 47.54N 090 23 04.15W BLDG               1 00047 00653 N 4 D N 2016ACE00008OE A 2018024 
29-051281 U US MO HAZELWOOD        38 45 47.58N 090 22 41.39W BLDG               1 00047 00648 N 4 D N 2017ACE01129OE A 2018025 
29-050832 U US MO KNOB NOSTER      38 45 47.60N 093 33 15.20W TOWER              1 00130 00937 N 4 D N 2015ACE04138OE A 2018024 
29-050970 U US MO HAZELWOOD        38 45 47.61N 090 23 02.22W UTILITY POLE       1 00051 00652 N 4 D N 2016ACE02657OE A 2018030 
29-023921 O US MO SAINT LOUIS      38 45 47.74N 090 24 59.66W POLE               1 00013 00605 U 1 A U                A 2014080 
29-080835 U US MO BERKELEY         38 45 47.85N 090 20 57.24W POLE               1 00024 00543 N 4 D N 2020ACE02623OE A 2021342 
29-080174 U US MO HAZELWOOD        38 45 48.09N 090 22 00.67W T-L TWR            1 00072 00616 N 4 D N 2019ACE06089OE A 2021244 
29-080317 U US MO BERKELEY         38 45 48.35N 090 20 47.04W T-L TWR            1 00060 00591 N 4 D N 2019ACE06082OE A 2021267 
29-051516 U US MO HAZELWOOD        38 45 48.38N 090 22 52.78W BLDG               1 00040 00642 N 4 D N 2015ACE04551OE A 2018024 
29-080970 U US MO WARRENSBURG      38 45 48.47N 093 44 43.51W T-L TWR            1 00077 00877 N 4 D N 2020ACE02633OE A 2022059 
29-080114 U US MO ST. ANN          38 45 48.55N 090 26 02.69W T-L TWR            1 00056 00539 N 4 D N 2019ACE08805OE A 2021243 
29-080976 U US MO WARRENSBURG      38 45 48.57N 093 44 55.01W T-L TWR            1 00087 00866 N 4 D N 2020ACE02639OE A 2022060 
29-080971 U US MO WARRENSBURG      38 45 48.60N 093 44 44.85W T-L TWR            1 00076 00875 N 4 D N 2020ACE02634OE A 2022059 
29-080972 U US MO WARRENSBURG      38 45 48.64N 093 44 46.83W T-L TWR            1 00080 00873 N 4 D N 2020ACE02635OE A 2022059 
29-023967 O US MO SAINT LOUIS      38 45 48.66N 090 23 24.65W POLE               1 00052 00664 U 1 A U                A 2014080 
29-080975 U US MO WARRENSBURG      38 45 48.66N 093 44 52.77W T-L TWR            1 00085 00869 N 4 D N 2020ACE02638OE A 2022060 
29-080974 U US MO WARRENSBURG      38 45 48.69N 093 44 50.73W T-L TWR            1 00081 00869 N 4 D N 2020ACE02637OE A 2022060 
29-050940 U US MO HAZELWOOD        38 45 48.69N 090 23 00.90W UTILITY POLE       1 00051 00652 N 4 D N 2016ACE02656OE A 2018030 
29-080973 U US MO WARRENSBURG      38 45 48.70N 093 44 48.64W T-L TWR            1 00081 00870 N 4 D N 2020ACE02636OE A 2022059 
29-080838 U US MO BERKELEY         38 45 48.70N 090 20 48.75W POLE               1 00024 00543 N 4 D N 2020ACE02626OE A 2021349 
29-080839 U US MO BERKELEY         38 45 48.75N 090 20 50.38W POLE               1 00030 00549 N 4 D N 2020ACE02627OE A 2021349 
29-080318 U US MO BERKELEY         38 45 48.96N 090 20 47.04W UTILITY POLE       1 00061 00583 N 4 D N 2019ACE06083OE A 2021267 
29-080177 U US MO HAZELWOOD        38 45 49.35N 090 22 16.04W T-L TWR            1 00055 00632 N 4 D N 2019ACE06092OE A 2021244 
29-023973 O US MO SAINT LOUIS      38 45 49.35N 090 25 00.75W POLE               1 00021 00606 U 1 A U                A 2014080 
29-023961 O US MO SAINT LOUIS      38 45 49.40N 090 21 01.40W TOWER              1 00140 00656 R 1 A U                A 2014080 
29-082073 U US MO COFFEYVILLE      38 45 49.57N 093 08 58.54W T-L TWR            1 00069 00881 N 4 D N 2021ACE03178OE A 2022241 
29-051280 U US MO HAZELWOOD        38 45 49.64N 090 22 39.43W BLDG               1 00047 00648 N 4 D N 2017ACE01128OE A 2018025 
29-050969 U US MO HAZELWOOD        38 45 49.70N 090 22 59.56W UTILITY POLE       1 00051 00652 N 4 D N 2016ACE02655OE A 2018030 
29-081157 U US MO WARRENSBURG      38 45 49.83N 093 44 41.98W T-L TWR            1 00076 00881 N 4 D N 2020ACE02808OE A 2022066 
29-080982 U US MO WARRENSBURG      38 45 49.97N 093 45 05.52W T-L TWR            1 00076 00899 N 4 D N 2020ACE02645OE A 2022060 
29-062567 U US MO MARYLAND HEIGHTS 38 45 50.00N 090 28 55.00W BRIDGE             1 00165 00590 N 4 D N 2019ACE06510OE A 2019324 
29-023972 O US MO SAINT LOUIS      38 45 50.54N 090 24 59.49W POLE               1 00022 00606 U 1 A U                A 2014080 
29-080089 U US MO ST. ANN          38 45 50.55N 090 25 55.03W T-L TWR            1 00056 00561 N 4 D N 2019ACE08800OE A 2021242 
29-050856 U US MO HAZELWOOD        38 45 50.77N 090 22 59.72W BLDG               1 00047 00653 N 4 D N 2015ACE04553OE A 2018024 
29-080084 U US MO ST. ANN          38 45 50.80N 090 26 05.09W T-L TWR            1 00056 00550 N 4 D N 2019ACE08806OE A 2021239 
29-001272 O US MO ASHLAND          38 45 51.00N 092 18 52.00W TOWER              1 00500 01420 R 5 E M 1985ACE00848OE C 2014138 
29-050939 U US MO HAZELWOOD        38 45 51.04N 090 22 58.67W UTILITY POLE       1 00048 00652 N 4 D N 2016ACE02654OE A 2018030 
29-020503 O US MO ST CHARLES       38 45 51.52N 090 31 16.85W TOWER              1 00145 00682 N 1 A N 2011ACE01508OE A 2011243 
29-080176 U US MO HAZELWOOD        38 45 51.59N 090 22 06.33W T-L TWR            1 00060 00614 N 4 D N 2019ACE06091OE A 2021244 
29-081156 U US MO WARRENSBURG      38 45 51.79N 093 44 41.86W T-L TWR            1 00076 00886 N 4 D N 2020ACE02807OE A 2022066 
29-080983 U US MO WARRENSBURG      38 45 51.87N 093 45 05.43W T-L TWR            1 00076 00903 N 4 D N 2020ACE02646OE A 2022060 
29-051038 U US MO BERKELEY         38 45 51.94N 090 20 33.50W ANTENNA            1 00040 00573 N 4 D N 2016ACE04868OE A 2018023 
29-006065 U US MO ROBERTSON        38 45 52.00N 090 22 44.00W TOWER              1 00042 00662 N     M                A 1989037 
29-062564 U US MO MARYLAND HEIGHTS 38 45 52.00N 090 29 01.00W BRIDGE             1 00165 00590 N 4 D N 2019ACE06508OE A 2019325 
29-082081 U US MO COFFEYVILLE      38 45 52.07N 093 08 50.85W T-L TWR            1 00069 00854 N 4 D N 2021ACE03179OE A 2022241 
29-050643 U US MO BRIDGETON        38 45 52.16N 090 25 09.48W POLE               1 00053 00603 N 4 D N 2014ACE02144OE A 2018027 
29-051278 U US MO HAZELWOOD        38 45 52.43N 090 22 50.70W BLDG               1 00047 00648 N 4 D N 2017ACE01126OE A 2018025 
29-080175 U US MO HAZELWOOD        38 45 52.65N 090 21 56.32W UTILITY POLE       1 00039 00579 N 4 D N 2019ACE06090OE A 2021244 
29-080145 U US MO ST. ANN          38 45 52.72N 090 26 06.76W T-L TWR            1 00061 00587 N 4 D N 2019ACE08807OE A 2021243 
29-080116 U US MO ST. ANN          38 45 52.86N 090 25 57.21W T-L TWR            1 00056 00535 N 4 D N 2019ACE08802OE A 2021243 
29-080169 U US MO HAZELWOOD        38 45 53.28N 090 21 28.08W T-L TWR            1 00063 00578 N 4 D N 2019ACE06084OE A 2021244 
29-081155 U US MO WARRENSBURG      38 45 53.49N 093 44 41.78W T-L TWR            1 00072 00892 N 4 D N 2020ACE02806OE A 2022066 
29-080984 U US MO WARRENSBURG      38 45 53.82N 093 45 05.33W T-L TWR            1 00076 00906 N 4 D N 2020ACE02647OE A 2022060 
29-000518 O US MO FULTON           38 45 54.00N 091 45 28.00W TOWER              1 00325 01155 R 3 C M 1976ACE00556OE C 2014138 
29-050859 U US MO HAZELWOOD        38 45 54.05N 090 23 11.89W BLDG               1 00047 00653 N 4 D N 2016ACE00009OE A 2018024 
29-080090 U US MO ST. ANN          38 45 54.43N 090 26 08.59W T-L TWR            1 00061 00547 N 4 D N 2019ACE08808OE A 2021242 
29-051284 U US MO HAZELWOOD        38 45 54.53N 090 23 16.30W BLDG               1 00047 00653 N 4 D N 2016ACE00011OE A 2018024 
29-082082 U US MO SEDALIA          38 45 54.61N 093 08 43.07W T-L TWR            1 00069 00844 N 4 D N 2021ACE03180OE A 2022259 
29-051289 U US MO HAZELWOOD        38 45 54.74N 090 22 55.07W BLDG               1 00047 00655 N 4 D N 2016ACE03499OE A 2018025 
29-051279 U US MO HAZELWOOD        38 45 54.88N 090 22 48.34W BLDG               1 00047 00648 N 4 D N 2017ACE01127OE A 2018025 
29-025250 U US MO SAINT CHARLES    38 45 55.10N 090 31 36.62W TANK               1 00172 00766 N 4 D N 2016ACE00185OE A 2017044 
